Episode,Avg Reward,Steps,Total Reward
673,-0.8766716196136701,100,-590
674,-0.8768545994065282,11,-591
675,-0.8755555555555555,100,-591
676,-0.8742603550295858,100,-591
677,-0.8744460856720827,4,-592
678,-0.8731563421828908,100,-592
679,-0.8733431516936672,44,-593
680,-0.8735294117647059,11,-594
681,-0.8722466960352423,100,-594
682,-0.8709677419354839,100,-594
683,-0.8711566617862372,3,-595
684,-0.8713450292397661,82,-596
685,-0.8715328467153285,15,-597
686,-0.8717201166180758,96,-598
687,-0.8704512372634643,100,-598
688,-0.8691860465116279,100,-598
689,-0.8679245283018868,100,-598
690,-0.8681159420289855,47,-599
691,-0.8683068017366136,44,-600
692,-0.8684971098265896,72,-601
693,-0.8686868686868687,23,-602
694,-0.8688760806916427,96,-603
695,-0.8676258992805755,100,-603
696,-0.8663793103448276,100,-603
697,-0.866571018651363,70,-604
698,-0.8667621776504298,61,-605
699,-0.8669527896995708,5,-606
700,-0.8657142857142858,100,-606
701,-0.8644793152639088,100,-606
702,-0.8646723646723646,15,-607
703,-0.8648648648648649,66,-608
704,-0.8650568181818182,92,-609
705,-0.8638297872340426,100,-609
706,-0.8626062322946175,100,-609
707,-0.8613861386138614,100,-609
708,-0.8615819209039548,86,-610
709,-0.8617771509167842,15,-611
710,-0.8605633802816901,100,-611
711,-0.8607594936708861,17,-612
712,-0.8595505617977528,100,-612
713,-0.8583450210378681,100,-612
714,-0.8585434173669467,10,-613
715,-0.8587412587412587,100,-614
716,-0.8589385474860335,1,-615
717,-0.8577405857740585,100,-615
718,-0.8579387186629527,32,-616
719,-0.8567454798331016,100,-616
720,-0.8569444444444444,24,-617
721,-0.8571428571428571,9,-618
722,-0.8573407202216067,55,-619
723,-0.8575380359612724,21,-620
724,-0.8577348066298343,64,-621
725,-0.856551724137931,100,-621
726,-0.8567493112947658,1,-622
727,-0.8555708390646493,100,-622
728,-0.8543956043956044,100,-622
729,-0.8545953360768176,94,-623
730,-0.8534246575342466,100,-623
731,-0.853625170998632,35,-624
732,-0.8538251366120219,66,-625
733,-0.8526603001364257,100,-625
734,-0.8514986376021798,100,-625
735,-0.8503401360544217,100,-625
736,-0.8505434782608695,8,-626
737,-0.8493894165535957,100,-626
738,-0.8495934959349594,63,-627
739,-0.8497970230040596,50,-628
740,-0.8486486486486486,100,-628
741,-0.8488529014844804,10,-629
742,-0.8490566037735849,48,-630
743,-0.847913862718708,100,-630
744,-0.8481182795698925,16,-631
745,-0.8483221476510067,24,-632
746,-0.8471849865951743,100,-632
747,-0.8460508701472557,100,-632
748,-0.8462566844919787,82,-633
749,-0.8464619492656876,55,-634
750,-0.8466666666666667,94,-635
751,-0.8468708388814914,5,-636
752,-0.8457446808510638,100,-636
753,-0.8446215139442231,100,-636
754,-0.843501326259947,100,-636
755,-0.8437086092715231,38,-637
756,-0.843915343915344,74,-638
757,-0.8428005284015853,100,-638
758,-0.8430079155672823,61,-639
759,-0.8432147562582345,3,-640
760,-0.843421052631579,73,-641
761,-0.8436268068331143,14,-642
762,-0.84251968503937,100,-642
763,-0.8427260812581914,69,-643
764,-0.8429319371727748,38,-644
765,-0.8418300653594771,100,-644
766,-0.8407310704960835,100,-644
767,-0.8396349413298566,100,-644
768,-0.83984375,79,-645
769,-0.8400520156046815,1,-646
770,-0.8402597402597403,10,-647
771,-0.8404669260700389,16,-648
772,-0.8406735751295337,15,-649
773,-0.8408796895213454,9,-650
774,-0.8410852713178295,17,-651
775,-0.8412903225806452,34,-652
776,-0.8402061855670103,100,-652
777,-0.8391248391248392,100,-652
778,-0.8393316195372751,11,-653
779,-0.8395378690629012,41,-654
780,-0.8397435897435898,2,-655
781,-0.8399487836107554,48,-656
782,-0.8388746803069054,100,-656
783,-0.8390804597701149,59,-657
784,-0.8380102040816326,100,-657
785,-0.8369426751592357,100,-657
786,-0.8371501272264631,10,-658
787,-0.8373570520965693,6,-659
788,-0.8375634517766497,84,-660
789,-0.8365019011406845,100,-660
790,-0.8354430379746836,100,-660
791,-0.8356510745891277,65,-661
792,-0.8345959595959596,100,-661
793,-0.8335435056746532,100,-661
794,-0.8337531486146096,53,-662
795,-0.8339622641509434,20,-663
796,-0.8329145728643216,100,-663
797,-0.8331242158092849,20,-664
798,-0.8333333333333334,1,-665
799,-0.8335419274092616,24,-666
800,-0.8325,100,-666
801,-0.8314606741573034,100,-666
802,-0.830423940149626,100,-666
803,-0.8306351183063512,63,-667
804,-0.8296019900497512,100,-667
805,-0.8285714285714286,100,-667
806,-0.8275434243176178,100,-667
807,-0.8277571251548946,52,-668
808,-0.8279702970297029,42,-669
809,-0.826946847960445,100,-669
810,-0.8271604938271605,28,-670
811,-0.8261405672009864,100,-670
812,-0.8263546798029556,42,-671
813,-0.8265682656826568,17,-672
814,-0.8267813267813268,41,-673
815,-0.8269938650306748,80,-674
816,-0.8272058823529411,87,-675
817,-0.8274173806609547,56,-676
818,-0.8276283618581907,2,-677
819,-0.8278388278388278,56,-678
820,-0.8280487804878048,15,-679
821,-0.8282582216808769,1,-680
822,-0.8284671532846716,94,-681
823,-0.8286755771567437,83,-682
824,-0.8288834951456311,10,-683
825,-0.8290909090909091,82,-684
826,-0.8280871670702179,100,-684
827,-0.8282950423216445,1,-685
828,-0.8285024154589372,25,-686
829,-0.827503015681544,100,-686
830,-0.827710843373494,58,-687
831,-0.8279181708784596,12,-688
832,-0.8269230769230769,100,-688
833,-0.8271308523409364,1,-689
834,-0.8261390887290168,100,-689
835,-0.8251497005988024,100,-689
836,-0.8241626794258373,100,-689
837,-0.8243727598566308,34,-690
838,-0.8245823389021479,34,-691
839,-0.8247914183551848,36,-692
