Episode,Avg Reward,Steps,Total Reward
434,-0.8940092165898618,1,-388
435,-0.8942528735632184,18,-389
436,-0.8944954128440367,5,-390
437,-0.8947368421052632,17,-391
438,-0.8949771689497716,43,-392
439,-0.8952164009111617,26,-393
440,-0.8954545454545455,26,-394
441,-0.8956916099773242,6,-395
442,-0.8959276018099548,18,-396
443,-0.8961625282167043,7,-397
444,-0.8963963963963963,1,-398
445,-0.8921348314606742,60,-397
446,-0.8923766816143498,29,-398
447,-0.8926174496644296,17,-399
448,-0.8928571428571429,1,-400
449,-0.8930957683741648,31,-401
450,-0.8911111111111111,100,-401
451,-0.8913525498891353,6,-402
452,-0.8871681415929203,79,-401
453,-0.8830022075055187,35,-400
454,-0.8788546255506607,97,-399
455,-0.8769230769230769,100,-399
456,-0.8771929824561403,50,-400
457,-0.8774617067833698,65,-401
458,-0.8777292576419214,86,-402
459,-0.8736383442265795,74,-401
460,-0.8739130434782608,1,-402
461,-0.8741865509761388,1,-403
462,-0.8744588744588745,12,-404
463,-0.8747300215982722,83,-405
464,-0.875,53,-406
465,-0.875268817204301,8,-407
466,-0.8755364806866953,1,-408
467,-0.8758029978586723,18,-409
468,-0.8760683760683761,7,-410
469,-0.8763326226012793,36,-411
470,-0.8765957446808511,27,-412
471,-0.8768577494692145,27,-413
472,-0.8771186440677966,99,-414
473,-0.8773784355179705,69,-415
474,-0.8776371308016878,15,-416
475,-0.8778947368421053,32,-417
476,-0.8760504201680672,100,-417
477,-0.8763102725366876,54,-418
478,-0.8723849372384938,64,-417
479,-0.872651356993737,11,-418
480,-0.8708333333333333,100,-418
481,-0.8711018711018711,33,-419
482,-0.8713692946058091,52,-420
483,-0.8716356107660456,2,-421
484,-0.871900826446281,62,-422
485,-0.8721649484536083,64,-423
486,-0.8724279835390947,9,-424
487,-0.8726899383983573,8,-425
488,-0.8729508196721312,22,-426
489,-0.8732106339468303,53,-427
490,-0.8734693877551021,1,-428
491,-0.8737270875763747,35,-429
492,-0.8739837398373984,11,-430
493,-0.8701825557809331,78,-429
494,-0.8704453441295547,8,-430
495,-0.8707070707070707,7,-431
496,-0.8709677419354839,19,-432
